Name,University,Place,Date,Type
Graphic Design and Vector Graphics,University of Tartu,"Tartu,
Estonia",,Bachelor Programme
Processing Estonian Language in Python,University of Tartu,"Tartu,
Estonia",5 Sept recurring,PhD Programme
Computer Graphics in Photoshop,University of Tartu,"Tartu,
Estonia",4 Feb recurring,Bachelor Programme
Practice of Digital Humanities,University of Tartu,"Tartu,
Estonia",,Bachelor Programme
From Paper to Computer,University of Tartu,"Tartu,
Estonia",,Master Programme
Introduction to Digital Humanities,University of Tartu,"Tartu,
Estonia",5 Sept recurring,Master Programme
Processing and Analyzing Textual Data in the Humanities,University of Tartu,"Tartu,
Estonia",,Bachelor Programme
Introduction to R and Data Structures,University of Tartu,"Tartu,
Estonia",5 Sept recurring,Master Programme
Databases of History,University of Tartu,"Tartu,
Estonia",6 Sept recurring,Master Programme
Applying GIS in the Humanities,University of Tartu,"Tartu,
Estonia",6 Sept recurring,Master Programme
Basics of Quantitative Data Analysis for the Humanities with R,University of Tartu,"Tartu,
Estonia",1 Feb recurring,PhD Programme
Seminar of Digital Humanities,University of Tartu,"Tartu,
Estonia",2 Sept recurring,Bachelor Programme
Game studies,Universiteit Utrecht,"Utrecht,
Netherlands",1 Sept recurring,Module
Digital Methods in Linguistics,Universiteit Utrecht,"Utrecht,
Netherlands",4 Sept recurring,Master Programme
Linguistics and literary studies,Vrije Universiteit Brussel,"Brussel,
Belgium",4 Sept recurring,Master Programme
Korpuslingvistiikka ja tilastolliset menetelmät (Corpus Lin ...,University of Helsinki,"Helsinki,
Finland",1 Sept recurring,Course
Corpus Linguistics and Statistical Methods,University of Helsinki,"Helsinki,
Finland",1 Jan recurring,Course
Analyse et structuration des données historiques,Université Paris 1 Panthéon-Sorbonne,"Paris,
France",2 Sept recurring,Master Programme
Master Métiers de la Science des Patrimoines : spécialisati ...,Université Francois-Rabelais,"Tours,
France",2 Sept recurring,Master Programme
Initiation in XML-TEI coding of heritage texts,Université Francois-Rabelais,"Tours,
France",4 Sept recurring,Course
Scholarly Digital Editions,University of Wrocław,"Wroclaw,
Poland",3 Feb recurring,Course
Digital collection development,Eötvös Loránd University,"Budapest,
Hungary",2 Sept recurring,Bachelor Programme
Digital Humanities: How to Read a Million Books?,University of Oslo,"Oslo,
Norway",,Course
Digital Humanities,Vytautas Magnus University,"Kaunas,
Lithuania",6 Sept recurring,Bachelor Programme
Master Humanités numériques,Université Rennes 2,"Rennes,
France",6 Sept recurring,Master Programme
Mention Humanités numériques,Université Paris 8 Vincennes-Saint-Denis,"Paris,
France",6 Sept recurring,Master Programme
Informatique et lexicographie,Université Paul-Valéry Montpellier 3,"Montpellier,
France",5 Sept recurring,Bachelor Programme
Digital Humanities and Digital Knowledge (DHDK),Università di Bologna,"Bologna,
Italy",1 Oct recurring,Master Programme
MA/MSc Digital Humanities,University College London,"London,
United Kingdom",6 Oct recurring,Master Programme
Public and Digital History,Università di Salerno,"Salerno,
Italy",2 Mar recurring,Course
PhD in Digital Humanities,University College London,"London,
United Kingdom",6 Oct recurring,PhD Programme
Diploma / Certificate in Digital Humanities,University College London,"London,
United Kingdom",6 Oct recurring,Course
MRes in Information Studies: Digital Humanities,University College London,"London,
United Kingdom",3 Oct recurring,Research Master
Introduction to Digital Philology,Universität Leipzig,"Leipzig,
Germany",2 Apr recurring,Bachelor Programme
Master of Science in Digital Humanities,Ecole Polytechnique Fédérale de Lausanne,"Lausanne,
Switzerland",2 Sept recurring,Master Programme
Digitalización del Patrimonio,UNED | Universidad Nacional de Educación a Distancia,"Madrid,
Spain",1 Oct recurring,Course
Digital Public Humanities (Graduate Certificate),George Mason University,"Fairfax,
United States of America",3 Aug recurring,Master Programme
Teaching and Learning History in the Digital Age,George Mason University,"Fairfax,
United States of America",4 May recurring,Course
Digital Public History,George Mason University,"Fairfax,
United States of America",3 Jan recurring,Course
Introduction to Digital Humanities,George Mason University,"Fairfax,
United States of America",3 Aug recurring,Course
Humanities in the Digital Age: Introduction to Digital Huma ...,Eötvös Loránd University,"Budapest,
Hungary",,Course
Game and media technology,Universiteit Utrecht,"Utrecht,
Netherlands",1 Sept recurring,Master Programme
Neuroscience and cognition,Universiteit Utrecht,"Utrecht,
Netherlands",4 Sept recurring,Master Programme
"Les humanités numériques – origines, définitions, développe ...",Université de Lausanne,"Lausanne,
Switzerland",1 Feb recurring,Course
Introduction à la pensée computationnelle,Université de Lausanne,"Lausanne,
Switzerland",1 Mar recurring,Course
Ingénierie documentaire,Université de Lausanne,"Lausanne,
Switzerland",4 Sept recurring,Course
MA in Digital Humanities,King’s College London,"London,
United Kingdom",2 Sept recurring,Master Programme
Skills in Transnational History MO5161,University of St Andrews,"St Andrews,
United Kingdom",1 Sept recurring,Module
Digital Humanities,Ecole Polytechnique Fédérale de Lausanne,"Lausanne,
Switzerland",2 Sept recurring,Course
Informatique et Sciences sociales (DCISS),Université Grenoble-Alpes,"Grenoble,
France",2 Sept recurring,Master Programme
Humanités classiques et humanités numériques,Université Paris-Nanterre,"Nanterre,
France",1 Sept recurring,Master Programme
Introduction à la Traduction Automatique,Le Mans Université,"Le Mans,
France",1 Sept recurring,Course
Comprendre et utiliser les bases de données,Le Mans Université,"Le Mans,
France",1 Jan recurring,Course
Urheberrecht im europäischen digitalen Raum,Le Mans Université,"Le Mans,
France",1 Sept recurring,Course
Pratiques numériques dans l'enseignement en France et en Al ...,Le Mans Université,"Le Mans,
France",1 Jan recurring,Course
Introduction aux Humanités Numériques,Le Mans Université,"Le Mans,
France",1 Jan recurring,Course
Double licence Lettres – Informatique,Université Paris-Sorbonne,"Paris,
France",4 Sept recurring,Bachelor Programme
Fotografie,Universität Basel,"Basel,
Switzerland",,Bachelor Programme
Master of Arts (MA) in Digital Humanities,Université de Lausanne,"Lausanne,
Switzerland","2 Sept,
1 Feb recurring",Master Programme
M.Sc. Program in Natural Language Processing (NLP),Université de Lorraine,"Nancy,
France",6 Sept recurring,Master Programme
Digital Humanities,Universität Trier,"Trier,
Germany",3 Oct recurring,Master Programme
Computerlinguistik,Universität Trier,"Trier,
Germany",3 Oct recurring,Master Programme
Computerlinguistk,Universität Trier,"Trier,
Germany",3 Oct recurring,Bachelor Programme
Korpuslinguistische Methoden und Werkzeuge,Universität Zurich,"Zurich,
Switzerland",3 Feb recurring,Bachelor Programme
Einführung in die Multilinguale Textanalyse,Universität Zurich,"Zurich,
Switzerland",2 Sept recurring,Master Programme
Einführung in die Computerlinguistik I,Universität Zurich,"Zurich,
Switzerland",4 Sept recurring,Bachelor Programme
Digital Humanities: Coding and Digital Archives,University of Pittsburgh at Greensburg,"Greensburg,
United States of America",1 Aug recurring,Bachelor Programme
Digital Humanities: Coding and Data Visualization,University of Pittsburgh at Greensburg,"Greensburg,
United States of America",1 Jan recurring,Bachelor Programme
Digital Studies Certificate Program,University of Pittsburgh at Greensburg,"Greensburg,
United States of America",1 Aug recurring,Bachelor Programme
Digitala Humaniora,Åbo Akademi University,"Turku,
Finland",6 Sept recurring,Module
Language Technology study module,University of Turku,"Turku,
Finland",6 Sept recurring,Module
Introduction to Digital Humanities,University of Turku,"Turku,
Finland",1 Nov recurring,Course
