AA.DAfN,AW,DOI,F.FN
";; ;; ;; ","challenge;; digital;; preservation;; scientific;; data;; lies;; preserve;; dataset;; itself;; ability;; deliver;; knowledge;; future;; user;; community;; true;; research;; asset;; allows;; users;; reanalyze;; contexts;; order;; carry;; meaningful;; ensure;; equipped;; necessary;; information;; re;; paper;; overview;; methodology;; developed;; response;; caspar;; curation;; centre;; scarp;; projects;; intend;; place;; relation;; practices;; discussing;; interact;; provide;; archives;; caring;; sets;; full;; arsenal;; tools;; techniques;; rise","10.2218/ijdc.v6i2.204","world wide web;; scientific method;; digital preservation;; digital curation;; data mining;; data curation;; computer science"
"Information Management, Libraries & Archives","mid;; 1990s;; uk;; digital;; preservation;; activity;; concentrated;; ensuring;; survival;; material;; spurred;; us;; preserving;; information;; task;; force;; archiving;; 1996;; developed;; jisc;; funded;; activities;; technical;; developments;; maturing;; understanding;; organisational;; workflow;; saw;; emphasis;; move;; access;; reuse;; materials;; throughout;; lifecycle;; curation;; emerged;; discipline;; supported;; centre;; number;; eu;; 6th;; framework;; projects;; now;; embedded;; both;; practice;; research;; development;; tools;; foundation;; support;; units;; academic;; educators;; offering;; training;; furthering","10.2218/ijdc.v6i2.191","world wide web;; workflow;; task force;; reuse;; knowledge management;; digital transformation;; digital preservation;; digital material;; digital curation;; data mining;; data curation;; computer science"
";; ;; ;; ;; ","paper;; discusses;; issues;; formally;; publishing;; data;; academia;; focusing;; primarily;; structures;; put;; place;; peer;; review;; formal;; citation;; datasets;; publication;; becoming;; increasingly;; important;; scientific;; community;; provide;; mechanism;; create;; receive;; academic;; credit;; work;; allow;; conclusions;; arising;; more;; readily;; verifiable;; promoting;; transparency;; process;; ensuring;; quality;; suggestions;; types;; activities;; one;; expects;; see;; simple;; taxonomy;; methodologies;; presented;; concludes;; discussion;; dataset;; granularity;; transience;; semantics;; recommended;; human;; readable;; syntax","10.2218/ijdc.v6i2.205","world wide web;; transparency;; semantics;; scientific method;; publishing;; peer review;; data science;; data publishing;; data mining;; data management;; computer science;; citation"
";; ","virtual;; environments;; second;; life;; assumed;; increasingly;; important;; role;; popular;; culture;; education;; research;; unfortunately;; almost;; practical;; experience;; preserve;; highly;; dynamic;; interactive;; information;; resources;; article;; reports;; national;; digital;; infrastructure;; preservation;; program;; ndiipp;; funded;; preserving;; worlds;; project;; examines;; issues;; arise;; attempting;; archive;; regions;; intellectual;; property;; contractual;; raise;; significant;; impediments;; creation;; archival;; package;; technical;; design;; themselves;; discuss;; implication;; distributed;; models","10.2218/ijdc.v6i2.192","world wide web;; technical design;; popular culture;; multi user;; metaverse;; knowledge management;; intellectual property;; information infrastructure;; data mining;; computer science"
"","subject;; digital;; game;; preservation;; one;; moved;; research;; agenda;; years;; number;; international;; projects;; keep;; preserving;; virtual;; worlds;; highlighting;; seeking;; address;; impact;; media;; decay;; hardware;; software;; obsolescence;; different;; strategies;; code;; emulation;; instance;; similarly;; reflecting;; popular;; interest;; histories;; games;; exhibitions;; barbican;; uk;; gamecity;; nottingham;; experiment;; ways;; presenting;; general;; audience;; article;; focuses;; national;; videogame;; archive;; nva;; foundation;; 2008;; developed;; approaches;; both;; dovetail;; critique;; existing;; exhibition;; display;; begins;; noting;; text;; experience;; gameplay;; approach;; born;; conceptualisation;; moulthrop;; 2004;; called;; configurative;; performances;; interaction;; systems;; rules;; essentially;; actions;; players;; play;; develops;; problematising;; technical;; solutions;; exploring;; way;; seemingly;; minute;; differences;; execution;; greatly;; user;; issues;; demonstrates;; returns;; first;; principles;; questions;; taken;; granted;; assumption;; playable;; effective;; tool;; interpretation;; encourages;; consideration;; uses;; interactive;; audiovisual;; para;; textual;; materials;; activity;; focus;; falls;; upon;; player;; walkthrough;; texts;; presented;; archetypical;; archival;; documents;; concludes;; provocatively;; positing;; might;; more;; useful;; future;; scholars;; itself","10.2218/ijdc.v6i2.206","world wide web;; video game development;; video game design;; multimedia;; game mechanics;; game design;; game art design;; game developer;; first playable demo;; emergent gameplay;; data mining;; computer science"
";; ;; ;; ;; ;; ;; ","telehealth;; monitoring;; data;; now;; collected;; across;; large;; populations;; patients;; chronic;; diseases;; stroke;; hypertension;; copd;; dementia;; complex;; heterogeneous;; datasets;; distributed;; sensor;; mobile;; real;; opportunities;; knowledge;; discovery;; re;; generate;; challenges;; curation;; paper;; uses;; qualitative;; research;; stakeholders;; two;; nationally;; funded;; projects;; outline;; perceptions;; practices;; preferences;; different;; regard;; living;; laboratory;; implicit;; designing;; managing;; infrastructure;; embedded;; ubiquitous;; computing;; technical;; human;; agents;; interaction;; state;; change;; central;; component;; design;; rather;; inconvenient;; challenge;; authors;; argue;; lessons;; learned;; domains;; radically;; rethought;; address","10.2218/ijdc.v6i2.207","ubiquitous computing;; telehealth;; qualitative research;; living lab;; knowledge management;; knowledge extraction;; data mining;; data curation;; computer science"
";; ;; ;; ;; ","paper;; describes;; number;; critical;; challenges;; faced;; digital;; curation;; educators;; suggests;; choices;; make;; building;; educational;; programs;; may;; impact;; development;; professional;; discipline;; focus;; curriculum;; program;; key;; steps;; defining;; needs;; curators;; argue;; greater;; collaboration;; researchers;; practitioners;; field;; way;; speed;; emergence;; foster;; integration;; libraries;; archives","10.2218/ijdc.v6i2.193","knowledge management;; digital curation;; curriculum;; computer science"
";; ","2008;; 2010;; part;; grant;; digccurr;; preserving;; access;; digital;; future;; building;; international;; curation;; curriculum;; funded;; institute;; museum;; library;; services;; number;; fellows;; school;; information;; science;; sils;; university;; north;; carolina;; chapel;; hill;; unc;; ch;; comprehensively;; trained;; archive;; professionals;; theory;; practice;; paper;; examines;; skill;; areas;; matrix;; program;; perspective;; two;; former;; now;; employed;; professional;; positions;; utilize;; principles;; fellow;; offers;; functions;; subfunctions;; relate;; her;; current;; position;; deriving;; suggestions;; iterations;; graduate;; programs;; meant;; prepare;; curators;; creators;; group;; seasoned;; educators;; around;; world;; fresh;; graduates;; applying;; newly;; learned;; skills;; knowledge;; workforce","10.2218/ijdc.v6i2.195","world wide web;; workforce;; library services;; digital curation;; data mining;; curriculum;; computer science;; chapel"
";; ","preparation;; publication;; dissertations;; viewed;; subsystem;; scholarly;; communication;; treatment;; data;; support;; doctoral;; research;; mapped;; controlled;; manner;; curation;; lifecycle;; dissertation;; datasets;; represent;; low;; hanging;; fruit;; universities;; developing;; institutional;; collections;; current;; workflow;; processing;; electronic;; theses;; etd;; typical;; american;; university;; presented;; practice;; includes;; process;; formulating;; awarding;; disseminating;; way;; enables;; linked;; curated;; together;; value;; proposition;; roles;; student;; authors;; faculty;; graduate;; programs;; librarians;; explored","10.2218/ijdc.v6i2.194","world wide web;; workflow;; value proposition;; scholarly communication;; doctoral research;; dissemination;; data science;; data mining;; data curation;; computer science"
";; ;; ;; ;; ;; ","paper;; presented;; 6th;; international;; conference;; digital;; curation;; december;; 6;; 8;; 2010;; chicago;; il","10.2218/ijdc.v6i2.197","world wide web;; semantic web stack;; semantic web;; metadata;; information retrieval;; information repository;; digital curation;; data curation;; computer science"
