AA.DAfN,AW,DOI,F.FN
"","proposals;; creating;; digital;; scholarly;; editions;; dses;; crowdsourcing;; transcriptions;; collaborative;; scholarship;; establishment;; national;; repositories;; humanities;; data;; referencing;; sharing;; storage;; underlined;; greater;; interoperability;; tei;; guidelines;; tried;; establish;; standards;; encoding;; 1988;; choice;; tags;; guided;; human;; interpretation;; xml;; encoded;; files;; general;; interoperable;; one;; way;; fix;; problem;; may;; break;; down;; current;; approach;; so;; specified;; instead;; bundle;; separate;; resources;; together;; offer;; plain;; text;; versions;; markup;; annotations;; metadata;; facilitate;; development;; more;; software;; handling;; enable;; existing;; programs;; already;; handle;; kinds;; function;; efficiently","10.4000/jtei.979","world wide web;; transcription;; software;; plain text;; metadata;; markup language;; interoperability;; crowdsourcing;; computer science;; annotation"
"","paper;; attempts;; make;; two;; contributions;; discussions;; tei;; 1;; tools;; working;; documents;; encourage;; certain;; values;; assumptions;; work;; textual;; editing;; 2;; methodological;; framework;; outside;; humanities;; suggests;; unique;; way;; systems;; borrowing;; models;; design;; research;; fields;; human;; computer;; interaction;; argue;; prototypes;; create;; conceptual;; knowledge;; investigate;; sociotechnical;; communicate;; alternative;; visions;; first;; analyze;; existing;; tool;; versioning;; machine;; focusing;; prototype;; reimagines;; several;; aspects;; original;; specifically;; creates;; environment;; extent;; assumes;; created;; one;; editor;; intended;; instantiation;; presented;; experiments;; vision;; bringing;; encoded;; texts;; interpretations;; together;; multiple;; flexible;; instantiations;; rather;; technical;; problem;; optimal;; solution;; approach;; process;; opportunity;; ask;; give;; designers;; access;; issues;; allow;; users;; enact;; imagine;; futures;; supported;; modernist;; versions;; project;; funded;; social;; sciences;; council;; canada;; partnership;; development;; grant","10.4000/jtei.974","vision;; software versioning;; sociotechnical system;; human computer interaction;; general partnership;; futures contract;; design research;; design process;; design methods;; data science;; computer science"
";; ","italian;; central;; institute;; cataloguing;; iccu;; developed;; web;; application;; export;; manuscript;; descriptions;; manus;; online;; mol;; national;; catalogue;; manuscripts;; tei;; xml;; documents;; june;; 2013;; single;; downloaded;; public;; access;; opac;; user;; aim;; first;; tool;; supply;; institutions;; libraries;; research;; organizations;; own;; data;; outside;; project;; second;; service;; exporting;; catalogues;; entire;; collections;; files;; promote;; exchange;; international;; projects;; purposes;; needs;; rich;; schema;; partial;; set;; metadata;; order;; able;; complete;; structured;; bibliographical;; standards;; marc;; unimarc;; cannot;; represent;; structure;; adequately;; adopted;; interchange;; standard;; paper;; describes;; solutions;; encoding;; contents;; element;; problems;; encountered;; performing;; work;; information;; material;; number;; folios;; physical;; dimensions;; list;; pertaining;; original;; letter","10.4000/jtei.1054","xml;; world wide web;; web application;; schema;; public access;; metadata;; manus;; information retrieval;; encoding;; computer science"
";; ;; ;; ;; ;; ","tei;; schemas;; guidelines;; scholars;; researchers;; encode;; texts;; kind;; almost;; kinds;; purposes;; excellent;; standard;; matched;; astounding;; diversity;; publishing;; tools;; particularly;; true;; comes;; image;; digital;; editions;; different;; needs;; coupled;; constant;; search;; effective;; price;; ratio;; local;; availability;; technical;; skills;; led;; remarkable;; fragmentation;; solutions;; range;; simple;; html;; pages;; stylesheets;; boilerplate;; software;; complex;; frameworks;; cms;; sql;; engines;; vercelli;; book;; project;; started;; looking;; user;; friendly;; solution;; eventually;; decided;; build;; own;; evt;; edition;; visualization;; technology;; development;; 2010;; turned;; flexible;; tool;; create;; web;; starting;; transcription;; files;; encoded;; xml;; paper;; describes;; why;; created;; works;; developments;; planned;; future","10.4000/jtei.1077","xslt;; xml;; world wide web;; visualization;; software;; sql;; publishing;; digital edition;; computer science;; boilerplate"
";; ","debate;; semantic;; role;; markup;; languages;; quite;; lively;; tei;; community;; played;; active;; part;; commonly;; acknowledged;; conveys;; information;; xml;; poor;; language;; data;; modeling;; several;; proposals;; previously;; drawn;; past;; provide;; formalized;; computable;; semantics;; opinion;; formalisms;; offered;; web;; paradigm;; mature;; enough;; build;; workable;; extension;; model;; distinguishes;; three;; layers;; one;; general;; shared;; intensional;; layer;; idiolectal;; specialized;; finally;; extensional;; proposal;; directed;; toward;; first;; two;; propose;; adopting;; set;; owl;; formal;; ontologies;; furnishing;; ontology;; interesting;; outcomes;; facilitating;; management;; research;; document;; collections;; open;; multi;; standard;; contexts;; aiding;; interoperability;; relevant;; standards;; digital;; cultural;; heritage;; context;; providing;; users;; advanced;; tools;; semantically;; define;; interpretations;; texts;; enable;; innovative;; computational;; processing;; order;; allow;; aligned;; models;; likewise;; mapping;; merging;; procedures;; idea;; migrating;; documents;; following;; linked;; dimension;; requires;; face;; important;; issues;; facilitate;; interchange;; cloud;; cost;; practical;; complexity;; notable;; theoretical;; problems;; format;; choices;; implementation;; details;; still;; defined","10.4000/jtei.1480","world wide web;; semantic similarity;; semantic search;; semantic interoperability;; semantic integration;; semantic computing;; semantic compression;; semantic web stack;; semantic web rule language;; computer science"
";; ;; ","data;; edition;; means;; privileged;; presentation;; side;; effect;; changing;; nature;; computer;; systems;; constant;; progression;; hardware;; software;; encoded;; texts;; important;; long;; term;; outcome;; project;; representation;; knowledge;; application;; destined;; become;; obsolete;; relatively;; quickly;; output;; rather;; source;; published;; shared;; believe;; largely;; currently;; way;; expressing;; encoding;; aspects;; seen;; editors;; crucial;; part;; work;; framework;; processing;; expectations;; variety;; formats;; more;; inclined;; share;; files;; prime;; intentions;; likely;; survive;; repeated;; technology;; transitions;; tools;; develop;; change;; collision;; individuality;; research;; quest;; common;; aid;; creation;; digital;; editions;; solved;; creating;; another;; piece;; specialized;; publishing;; general;; tei;; documents;; similar;; modular;; solutions;; tasks;; workflow;; abstraction;; layer;; admittedly;; still;; requires;; fluency;; technologies;; far;; less;; setting;; publication;; system;; scratch;; purpose;; programming;; language","10.4000/jtei.1453","world wide web;; workflow;; source data;; software;; publishing;; modular design;; fluency;; digital edition;; computer science;; artificial intelligence;; abstraction layer"
"University of Luxembourg;; ;; University of Luxembourg","combining;; traditional;; historical;; enquiry;; tei;; xml;; encoding;; decoding;; corpus;; phase;; project;; aims;; addressing;; research;; questions;; mainly;; french;; british;; positions;; topics;; armament;; design;; production;; control;; western;; european;; union;; weu;; 1954;; 1982;; paper;; focuses;; annotation;; speakers;; different;; countries;; institutional;; representatives;; discourse;; selection;; documents;; minutes;; notes;; studies;; memoranda;; identification;; linguistic;; patterns;; issues;; interpretation;; larger;; perspective;; considers;; adding;; original;; text;; material;; layer;; supports;; both;; machine;; human;; sense;; may;; move;; closer;; concept;; hermeneutics;; understanding;; code;; digital;; technology;; general;; instrument;; hermeneutic;; ways;; produce;; knowledge","10.4000/jtei.1463","xml;; materiality;; literature;; linguistics;; hermeneutics;; european union;; engineering;; encoding;; decoding methods;; corpus analysis;; annotation"
";; ;; ","encoding;; letters;; long;; tradition;; tei;; official;; recommendations;; guidelines;; deal;; correspondence;; two;; customizations;; exemplary;; models;; dalf;; digital;; archive;; flanders;; carl;; maria;; weber;; collected;; works;; wega;; basis;; work;; special;; interest;; group;; formed;; task;; force;; consisting;; three;; authors;; article;; developing;; discusses;; theory;; brief;; act;; communication;; aspects;; expressed;; entities;; development;; oriented;; concept;; direct;; implementation;; specific;; metadata;; structures;; central;; wrapper;; element;; description;; stores;; key;; encoded;; piece;; addressing;; first;; question;; one;; encode;; discuss;; linking;; interchange;; projects;; editions;; dealing;; material;; facilitate;; cmi;; format;; developed;; sig;; subset;; finally;; describe;; organizational;; difficulties;; implementing;; elements;; model;; 2015","10.4000/jtei.1433","task force;; special interest group;; metadata;; information retrieval;; encoding;; encode;; digital edition;; correspondence theory;; computer science;; artificial intelligence"
"","mechanisms;; offered;; tei;; schema;; guidelines;; encoding;; critical;; editions;; suffer;; one;; major;; shortcoming;; lack;; user;; friendly;; tools;; allowing;; philologists;; readers;; display;; process;; encoded;; witnessing;; personally;; experiencing;; frustration;; decided;; develop;; application;; especially;; dedicated;; supporting;; work;; helping;; fully;; benefit;; apparatus;; toolbox;; now;; online;; http;; ciham;; digital;; huma;; num;; fr;; teicat;; article;; describes;; context;; developed;; current;; features;; plans;; future;; improvements","10.4000/jtei.1520","world wide web;; toolbox;; schema;; multimedia;; encoding;; computer science"
";; ","early;; days;; tei;; guidelines;; academic;; libraries;; extended;; access;; preservation;; mandates;; include;; electronic;; text;; providing;; expertise;; authority;; control;; subject;; bibliographic;; description;; advent;; mass;; digitization;; efforts;; involving;; simple;; scanning;; pages;; ocr;; called;; question;; role;; encoding;; paper;; survey;; targeting;; library;; employees;; learn;; more;; practices;; gauge;; current;; attitudes;; toward","10.4000/jtei.1322","world wide web;; subject analysis;; library science;; engineering;; digitization;; digital library;; authority control"
