AA.DAfN,AW,DOI,F.FN
"Universidad de Las Palmas de Gran Canaria#R##N#Instituto Universitario de Análisis y Aplicaciones Textuales;; Universidad de Las Palmas de Gran Canaria. Instituto Universitario de Microelectrónica Aplicada;; Universidad de Las Palmas de Gran Canaria","este;; trabajo;; ofrece;; experiencia;; innovacion;; cientifica;; digitalizar;; y;; modelar;; 3d;; conjunto;; 59;; inscripciones;; romanas;; museo;; nacional;; arte;; romano;; merida;; badajoz;; traves;; tecnologia;; bajo;; coste;; basada;; modelado;; digital;; imagenes;; movimiento;; structure;; motion;; sfm;; su;; difusion;; internet;; desarrollo;; aplicacion;; propietaria;; para;; visualizacion;; smartphones;; tablets;; con;; sistema;; operativo;; android;; resultados;; obtenidos;; permiten;; comprobar;; potencial;; estas;; tecnologias;; incrementar;; visibilidad;; patrimonio;; arqueologico;; que;; conservan;; museos","10.5944/rhd.vol.1.2017.16680","humanities;; emerita;; digital humanities;; cartography;; art"
"National Scientific and Technical Research Council","","10.5944/rhd.vol.1.2017.19857","humanities;; digital humanities;; art"
"University of WrocÅ‚aw","libros;; que;; pertenecieron;; arthur;; schopenhauer;; entre;; ellos;; sus;; espanoles;; encuentran;; anotaciones;; manuscritas;; marcas;; lectura;; glosas;; y;; dibujos;; nos;; referimos;; tipo;; especifico;; anotacion;; conocida;; ingles;; como;; author;; marginalia;; muy;; pocos;; editan;; debido;; complejidad;; edicion;; incluso;; creciente;; mundo;; digital;; suponen;; reto;; pues;; casi;; siempre;; van;; unidas;; al;; contexto;; surgen;; materialidad;; libro;; este;; articulo;; ofrece;; propuesta;; general;; busca;; justificar;; su;; utilidad;; criterios;; etiquetado;; elegidos;; xml;; tei;; entorno;; publicacion;; drupal;; implementado;; con;; modulo;; teichi","10.5944/rhd.vol.1.2017.16563","philosophy;; humanities"
"University of Nebraska–Lincoln;; University of Nebraska–Lincoln;; University of Nebraska–Lincoln","pairing;; preservation;; analytical;; endeavors;; corpus;; consists;; 345;; digital;; objects;; include;; one;; more;; iterations;; personal;; name;; mother;; daughter;; mexican;; american;; family;; migrated;; zacatecas;; mexico;; midwest;; first;; half;; 20;; th;; century;; data;; following;; dimensions;; self;; presentation;; language;; geographical;; location;; temporality;; public;; private;; space;; type;; text;; same;; time;; describe;; challenges;; involved;; encoding;; names;; follow;; different;; naming;; conventions;; speakers;; two;; languages;; changed;; over;; seek;; contribute;; voices;; scarcely;; studied;; social;; history;; americans;; aunando;; conservacion;; con;; esfuerzos;; analiticos;; presente;; analisis;; consiste;; objetos;; digitales;; que;; incluye;; o;; mas;; iteraciones;; nombre;; madre;; y;; hija;; familia;; mexicano;; estadounidenses;; migro;; al;; medio;; oeste;; estadounidense;; durante;; primera;; mitad;; siglo;; xx;; datos;; han;; sido;; analizados;; siguientes;; dimensiones;; autopresentacion;; lenguaje;; localizacion;; geografica;; temporalidad;; espacio;; publico;; privado;; tipo;; texto;; mismo;; tiempo;; describimos;; retos;; marcado;; nombres;; siguen;; diferentes;; convenciones;; fueron;; producidos;; por;; hablantes;; idiomas;; cambiaron;; buscamos;; anadir;; estas;; voces;; poco;; estudiada;; historia;; americanos","10.5944/rhd.vol.2.2018.20413","temporality;; social history;; private space;; personal name;; humanities;; history;; digital preservation;; digital humanities"
"University of Glasgow","resena;; evalua;; coleccion;; digital;; teatro;; musical;; espanol;; https;; www;; march;; es;; bibliotecas;; tme;; fundacion;; juan;; que;; recoge;; documentos;; partituras;; completas;; y;; parciales;; libretos;; bocetos;; escenograficos;; grabaciones;; sonoras;; relativas;; 154;; obras;; datan;; entre;; mediados;; siglo;; xviii;; 2005;; argumenta;; trata;; proyecto;; pionero;; musicologia;; espanola;; por;; su;; interfaz;; clara;; pedagogica;; uso;; seis;; formato;; musicxml;; poner;; disposicion;; publico;; ineditas;; o;; dificil;; obtencion;; sin;; embargo;; tambien;; capacidad;; estimular;; preguntas;; investigacion;; exploten;; plenamente;; posibilidades;; lo;; todavia;; limitada;; debido;; limitaciones;; materiales;; disponibles;; particularmente;; archivos;; audio;; sus;; metadatos;; funciones;; busqueda;; con;; cuenta","10.5944/rhd.vol.2.2018.21888","opera;; musical;; humanities;; art"
"Universidad Internacional de La Rioja","presente;; texto;; ofrece;; resena;; proyecto;; fleuron;; que;; desarrolla;; university;; cambridge;; su;; objetivo;; principal;; es;; creacion;; base;; datos;; recoja;; elementos;; ornamentales;; impresos;; publicados;; reino;; unido;; siglo;; xviii","10.5944/rhd.vol.2.2018.21905","ornaments;; humanities;; art"
"Escuela Nacional de Conservación, Restauración y Museografía "Manuel Castillo Negrete"","este;; articulo;; presenta;; desarrollo;; proyecto;; investigacion;; intervencion;; cuyo;; objetivo;; es;; disenar;; forma;; construir;; puentes;; entre;; documentos;; antiguos;; y;; publico;; academico;; como;; que;; generalmente;; consulta;; buscando;; con;; ello;; abrir;; posibilidad;; conservarlos;; mas;; alla;; su;; materialidad;; esto;; traves;; conservacion;; significativa;; terreno;; memoria;; social;; utilizando;; para;; curiosidad;; herramienta;; estudio;; caso;; toma;; coleccion;; calendarios;; mexicanos;; siglo;; xix;; encuentra;; resguardada;; fondo;; antiguo;; biblioteca;; ernesto;; torre;; villar;; instituto;; mora;; desde;; curaduria;; contenidos;; estrategia;; propone;; utilizacion;; red;; pinterest;; instrumento;; activar;; materiales;; seleccionados","10.5944/rhd.vol.2.2018.22071","humanities;; art"
"National Scientific and Technical Research Council","nuevas;; tecnologias;; implicadas;; busqueda;; lectura;; y;; clasificacion;; fuentes;; documentales;; reclaman;; reflexion;; colectiva;; para;; comprender;; cambios;; continuidades;; actuales;; investigacion;; historica;; este;; articulo;; reflexiona;; sobre;; lugar;; fundamental;; practica;; historiadora;; toma;; notas;; revisa;; algunas;; herramientas;; clasificar;; informacion;; que;; afectan;; sustancialmente;; propone;; desarrollo;; concreto;; permita;; practicas","10.5944/rhd.vol.2.2018.21936","philosophy;; humanities"
"Universidad Nacional de EducaciÃ³n a Distancia","este;; trabajo;; aborda;; aplicacion;; georreferenciacion;; estudios;; literarios;; concretamente;; al;; analisis;; espacial;; y;; geografico;; texto;; literario;; primer;; lugar;; revisa;; historia;; para;; poner;; manifiesto;; su;; impacto;; positivo;; sobre;; estudio;; relaciones;; entre;; geografia;; literatura;; posibilitar;; diseno;; nuevos;; perfiles;; proyectos;; que;; dentro;; geohumanidades;; o;; humanidades;; espaciales;; recogen;; legado;; tradicional;; cartografia;; literarias;; complementarlo;; con;; recientes;; aportaciones;; digitales;; segundo;; presentan;; principales;; actuales;; utilizan","10.5944/rhd.vol.2.2018.22141","humanities;; art"
"University of Bern","impacto;; nuevas;; tecnologias;; sobre;; proceso;; escritura;; es;; nada;; nuevo;; esta;; revolucion;; digital;; tradujo;; primero;; por;; aparicion;; nuevos;; formatos;; textos;; y;; desarrollo;; teoria;; literaria;; ad;; hoc;; ambito;; angloamericano;; llevo;; filologos;; instituciones;; patrimoniales;; reflexionar;; necesidad;; desarrollar;; estudio;; edicion;; conservacion;; perenne;; estos;; digitales;; que;; debe;; atraso;; estas;; mismas;; areas;; observa;; europa;; puede;; afirmar;; forensics;; media;; archaeology;; kirschenbaum;; son;; disciplinas;; trasnacionales;; contribucion;; hace;; balance;; txtual;; condition;; area;; angloamericana;; contrasta;; conclusiones;; con;; respuestas;; tres;; escritores;; emblematicos;; nueva;; narrativa;; espanola;; han;; dado;; encuesta;; formas;; gestionar;; conservar;; archivos","10.5944/rhd.vol.2.2018.22198","media archaeology;; humanities;; art"
